Event ID  Meaning
00	The log was started.
01	The log was stopped.
02	The log was temporarily paused due to low disk space.
10	A new IP address was leased to a client.
11	A lease was renewed by a client.
12	A lease was released by a client.
13	An IP address was found to be in use on the network.
14	A lease request could not be satisfied because the scope's address pool was exhausted.
15	A lease was denied.
16	A lease was deleted.
17	A lease was expired and DNS records for an expired leases have not been deleted.
18	A lease was expired and DNS records were deleted.
20	A BOOTP address was leased to a client.
21	A dynamic BOOTP address was leased to a client.
22	A BOOTP request could not be satisfied because the scope's address pool for BOOTP was exhausted.
23	A BOOTP IP address was deleted after checking to see it was not in use.
24	IP address cleanup operation has began.
25	IP address cleanup statistics.
30	DNS update request to the named DNS server.
31	DNS update failed.
32	DNS update successful.
33	Packet dropped due to NAP policy.
50+	Codes above 50 are used for Rogue Server Detection information.

QResult: 0: NoQuarantine, 1:Quarantine, 2:Drop Packet, 3:Probation,6:No Quarantine Information ProbationTime:Year-Month-Day Hour:Minute:Second:MilliSecond.

ID,Date,Time,Description,IP Address,Host Name,MAC Address,User Name, TransactionID, QResult,Probationtime, CorrelationID.
24,04/29/18,10:58:00,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,10:58:00,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,10:58:00,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,04/29/18,10:59:54,Renew,192.168.134.159,DESKTOP-Q5NIM0G.iii.hogent.be,D4BED93A8D91,,3175681290,0,,,
11,04/29/18,11:33:25,Renew,192.168.134.248,vop.iii.hogent.be,000C299A4900,,372458178,0,,,
11,04/29/18,11:49:04,Renew,192.168.16.37,TL-WR841N.iii.hogent.be,F8D11164520D,,148801358,0,,,
24,04/29/18,11:58:01,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,11:58:01,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,11:58:01,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,04/29/18,12:23:22,Renew,192.168.16.138,kodaly.iii.hogent.be,000ACD11707E,,3784172517,0,,,
11,04/29/18,12:23:32,Renew,192.168.16.222,khachaturian.iii.hogent.be,000ACD1170D8,,4029637252,0,,,
11,04/29/18,12:49:33,Renew,192.168.134.31,Laptop-Marleen.iii.hogent.be,D4BED93A9111,,2751189366,0,,,
24,04/29/18,12:58:02,Database Cleanup Begin,,,,,0,6,,,
25,04/29/18,12:58:02,0 leases expired and 0 leases deleted,,,,,0,6,,,
25,04/29/18,12:58:02,0 leases expired and 0 leases deleted,,,,,0,6,,,
11,04/29/18,13:11:35,Renew,192.168.16.72,localhost.iii.hogent.be,90E2BA3F0542,,1308980554,0,,,
11,04/29/18,13:17:08,Renew,192.168.134.246,vongenae-PC.iii.hogent.be,34E6D71BD690,,203807516,0,,,
11,04/29/18,13:20:51,Renew,192.168.16.86,oersted.iii.hogent.be,90E2BA3F4B3D,,446840712,0,,,
11,04/29/18,13:22:28,Renew,192.168.16.92,ulam.iii.hogent.be,90E2BA3F4C1D,,2117591910,0,,,
11,04/29/18,13:25:42,Renew,192.168.16.91,torricelli.iii.hogent.be,90E2BA3F0386,,4259138626,0,,,
11,04/29/18,13:25:53,Renew,192.168.16.87,planck.iii.hogent.be,90E2BA3F0532,,2381989368,0,,,
11,04/29/18,13:26:42,Renew,192.168.16.142,chopin.iii.hogent.be,000ACD1170E7,,3937932783,0,,,
11,04/29/18,13:28:45,Renew,192.168.16.129,elgar.iii.hogent.be,000ACD1176CB,,2919096024,0,,,
